contig	S2753
S2753_000000000016_split_00002	222.82519957205167
S2753_000000000016_split_00003	224.8472495763294
S2753_000000000016_split_00004	226.81492448919158
S2753_000000000017_split_00001	233.34921183969956
S2753_000000000017_split_00002	232.43280526877894
S2753_000000000017_split_00003	224.96955072391663
S2753_000000000017_split_00004	222.25213996801807
S2753_000000000018_split_00001	224.83460622485012
S2753_000000000018_split_00002	228.77269750307
S2753_000000000018_split_00003	227.99585946788014
S2753_000000000019_split_00001	228.81702824396234
S2753_000000000019_split_00002	229.63769234260815
S2753_000000000019_split_00003	228.4756080675682
S2753_000000000020_split_00001	220.63808603908166
S2753_000000000021_split_00001	215.96371722846442
S2753_000000000022_split_00001	207.2417120237506
S2753_000000000023_split_00001	218.06356356356358
S2753_000000000024_split_00001	202.26412213740457
S2753_000000000025_split_00001	195.03530127814972
S2753_000000000026_split_00001	2546.9996410624553
S2753_000000000027_split_00001	201.7753655294639
S2753_000000000028_split_00001	208.3567174056916
S2753_000000000029_split_00001	274.85383502170765
S2753_000000000030_split_00001	2351.686165273909
